Site,Title,Company,Location,URL,Date
smartrecruiters,Producteur.trice VFX - Sénior - Permanent,Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/RodeoFX/postings/744000131180909,2026-06-09
smartrecruiters,VFX Producer - Senior - Permanent role,Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/RodeoFX/postings/744000131179539,2026-06-09
smartrecruiters,Responsable Informatique -  Permanent - Paris,Rodeo FX,"Paris, IDF, fr",https://api.smartrecruiters.com/v1/companies/RodeoFX/postings/744000130834624,2026-06-08
smartrecruiters,IT Manager - Permanent - Paris,Rodeo FX,"Paris, IDF, fr",https://api.smartrecruiters.com/v1/companies/RodeoFX/postings/744000130835130,2026-06-08
smartrecruiters,Mid Crowd Artist - TMNT 2,Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/RodeoFX/postings/744000130280649,2026-06-04
smartrecruiters,Senior Lookdev Artist - Expression of Interest,Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/RodeoFX/postings/744000129507827,2026-06-01
smartrecruiters,Artiste de développement visuel Senior - Candidature Spontanée,Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/RodeoFX/postings/744000129510002,2026-06-01
smartrecruiters,Analyste Financier.ère Junior,Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/RodeoFX/postings/744000129251241,2026-05-29
smartrecruiters,Junior Financial Analyst,Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/RodeoFX/postings/744000129251933,2026-05-29
smartrecruiters,Artiste texture Senior - Candidature Spontanée,Rodeo FX,"Montréal, QC, ca",https://api.smartrecruiters.com/v1/companies/RodeoFX/postings/744000129219499,2026-05-29
smartrecruiters,Senior Texture Artist - Expression of Interest,Rodeo FX,"Montreal, QC, ca",https://api.smartrecruiters.com/v1/companies/RodeoFX/postings/744000129217370,2026-05-29
bamboohr,Animation Team Lead (Tech Animation and Animation),compulsiongames,"Montreal, Quebec",https://compulsiongames.bamboohr.com/careers/114,
bamboohr,Responsable d'Équipe Animation (Animation Technique et Animation),compulsiongames,"Montreal, Quebec",https://compulsiongames.bamboohr.com/careers/115,
bamboohr,"VANCOUVER, BC - Compositor - MID/SR - Expression of Interest",barnstormvfx,"Vancouver, British Columbia",https://barnstormvfx.bamboohr.com/careers/56,
bamboohr,MONTRÉAL (QC) – Artiste en compositing - Compositing Artist,barnstormvfx,"Montreal, Quebec",https://barnstormvfx.bamboohr.com/careers/66,
bamboohr,Superviseur·e en Compositing - Montreal,barnstormvfx,"Montreal, Quebec",https://barnstormvfx.bamboohr.com/careers/76,
bamboohr,ANY LOCATION - General Application - Expression of Interest,barnstormvfx,,https://barnstormvfx.bamboohr.com/careers/114,
bamboohr,"GEORGIA, USA - General Application",barnstormvfx,"Atlanta, Georgia",https://barnstormvfx.bamboohr.com/careers/137,
bamboohr,NEW YORK - VFX Supervisor,barnstormvfx,,https://barnstormvfx.bamboohr.com/careers/150,
bamboohr,NEW YORK - Compositor: MID/SR Roles,barnstormvfx,,https://barnstormvfx.bamboohr.com/careers/152,
bamboohr,NEW YORK  - Compositing Supervisor,barnstormvfx,,https://barnstormvfx.bamboohr.com/careers/155,
bamboohr,"GEORGIA, USA - Compositor -MID/SR - Expression of Interest",barnstormvfx,"Atlanta, Georgia",https://barnstormvfx.bamboohr.com/careers/156,
bamboohr,Artiste en Rigging - Rigging Artist (MTL),barnstormvfx,"Montreal, Quebec",https://barnstormvfx.bamboohr.com/careers/160,
bamboohr,"GEORGIA, USA: Compositor & Digital Matte Painter: MID-SR",barnstormvfx,"Atlanta, Georgia",https://barnstormvfx.bamboohr.com/careers/170,
bamboohr,Artiste Groom - QC,barnstormvfx,"Montreal, Quebec",https://barnstormvfx.bamboohr.com/careers/175,
bamboohr,Artiste principal(e) de créatures - Lead Creature Artist - QC,barnstormvfx,"Montreal, Quebec",https://barnstormvfx.bamboohr.com/careers/176,
bamboohr,"NEW YORK, USA - General Application - Expression of Interest",barnstormvfx,,https://barnstormvfx.bamboohr.com/careers/186,
bamboohr,"LOS ANGELES, USA - Compositor - MID/SR - Expression of Interest",barnstormvfx,"Burbank, California",https://barnstormvfx.bamboohr.com/careers/192,
workable,3D Character Artist - Talent Pool (EU),sideinc,"London, England, United Kingdom",https://apply.workable.com/j/DB9081AA14,2025-08-20
workable,3D Character Artist - Talent Pool (EU),sideinc,"Warsaw, Masovian Voivodeship, Poland",https://apply.workable.com/j/DB9081AA14,2025-08-20
workable,3D Character Artist - Talent Pool (EU),sideinc,"Berlin, Berlin, Germany",https://apply.workable.com/j/DB9081AA14,2025-08-20
workable,3D Character Artist - Talent Pool (EU),sideinc,"Madrid, Community of Madrid, Spain",https://apply.workable.com/j/DB9081AA14,2025-08-20
workable,3D Character Artist - Talent Pool (EU),sideinc,"Stockholm, Stockholm County, Sweden",https://apply.workable.com/j/DB9081AA14,2025-08-20
workable,3D Character Artist - Talent Pool (LATAM),sideinc,"São Paulo, State of São Paulo, Brazil",https://apply.workable.com/j/565FB5F95C,2025-07-23
workable,3D Character Artist - Talent Pool (LATAM),sideinc,"Mexico City, Mexico City, Mexico",https://apply.workable.com/j/565FB5F95C,2025-07-23
workable,3D Character Artist - Talent Pool (LATAM),sideinc,"Guadalajara, Jalisco, Mexico",https://apply.workable.com/j/565FB5F95C,2025-07-23
